Year,State,County,fcst
2021,NY,Broome,33.87208049
2021,NY,Cattaraugus,21.35306309
2021,NY,Cayuga,8.385992531
2021,NY,Chautauqua,13.97208801
2021,NY,Chemung,16.77198506
2021,NY,Chenango,0
2021,NY,Clinton,26.80126917
2021,NY,Columbia,30.0851126
2021,NY,Cortland,8.05788216
2021,NY,Delaware,3.119788246
2021,NY,Dutchess,77.59843101
2021,NY,Erie,152.8672127
2021,NY,Essex,36.49970318
2021,NY,Franklin,24.16816703
2021,NY,Fulton,3.286583157
2021,NY,Genesee,8.875418361
2021,NY,Greene,18.08442654
2021,NY,Hamilton,7.472676025
2021,NY,Herkimer,6.280976943
2021,NY,Jefferson,19.89451303
2021,NY,Kings,307.3287303
2021,NY,Lewis,1.527879249
2021,NY,Livingston,14.46425356
2021,NY,Madison,10.35465475
2021,NY,Monroe,195.5223206
2021,NY,Montgomery,4.000445905
2021,NY,Nassau,126.1070394
2021,NY,New York,917.389906
2021,NY,Niagara,34.52830123
2021,NY,Oneida,70.37726313
2021,NY,Onondaga,111.1396614
2021,NY,Ontario,29.42889186
2021,NY,Orange,49.65425499
2021,NY,Orleans,0.328110371
2021,NY,Oswego,4.10959881
2021,NY,Otsego,17.92037136
2021,NY,Putnam,9.537118554
2021,NY,Queens,324.6065796
2021,NY,Rensselaer,30.08237288
2021,NY,Richmond,25.14427896
2021,NY,Rockland,56.72506631
2021,NY,St. Lawrence,13.47718273
2021,NY,Saratoga,70.02997468
2021,NY,Schenectady,59.17219546
2021,NY,Schoharie,2.668790421
2021,NY,Schuyler,5.257985107
2021,NY,Seneca,10.67516168
2021,NY,Steuben,43.3801731
2021,NY,Suffolk,247.7352738
2021,NY,Sullivan,16.93330052
2021,NY,Tioga,0.998741613
2021,NY,Tompkins,38.46288595
2021,NY,Ulster,131.5236003
2021,NY,Warren,79.88972415
2021,NY,Washington,2.302252046
2021,NY,Wayne,9.209008183
2021,NY,Westchester,271.6356044
2021,NY,Wyoming,4.43770918
2021,NY,Yates,12.84732102
2021,VT,Addison,30.08845834
2021,VT,Bennington,23.30017029
2021,VT,Caledonia,5.502376447
2021,VT,Chittenden,123.5355748
2021,VT,Franklin,17.55135851
2021,VT,Lamoille,29.02175131
2021,VT,Orange,1.761057292
2021,VT,Orleans,27.52686748
2021,VT,Rutland,87.62129342
2021,VT,Washington,109.4668546
2021,VT,Windham,71.07347309
2021,VT,Windsor,81.60984636
2021,CT,Fairfield,143.1171461
2021,CT,Hartford,180.9563927
2021,CT,Litchfield,9.795639269
2021,CT,Middlesex,51.18255708
2021,CT,New Haven,122.686621
